damID,catID,capacityML,surfarea_m2,catcharea_km2,demandfactor
dam011456,C1,0.10223,183.81,0.0142408,0.5
dam011457,C1,0.06042,123.45,0.0084373,0.5
dam011458,C1,0.05107,108.70,0.0045199,0.5
dam011459,C1,0.56153,667.20,0.1621626,0.5
dam011460,C1,1.17057,1163.33,0.0093347,0.5
dam011461,C1,0.22144,329.92,0.0000581,0.5
dam011462,C1,0.05971,122.36,0.0032952,0.5
dam011463,C1,0.08834,164.57,0.0042648,0.5
dam011464,C1,0.11529,201.31,0.0008032,0.5
dam011465,C1,0.21925,327.45,0.0004692,0.5
dam011466,C1,0.06146,125.05,0.0836109,0.5
dam011467,C1,0.04726,102.50,0.0007230,0.5
dam011468,C1,0.47190,584.92,0.0315169,0.5
dam011469,C1,0.05602,116.59,0.0001511,0.5
dam011470,C1,0.02374,60.88,0.0058915,0.5
dam011471,C1,0.06701,133.51,0.0031692,0.5
dam011472,C3,0.36255,479.14,0.0052306,0.5
dam011473,C1,0.02662,66.39,0.0002179,0.5
dam011474,C1,0.52347,632.68,0.5177422,0.5
dam011475,C3,0.35529,471.85,0.0699732,0.5
dam011476,C1,0.22782,337.09,0.0067039,0.5
dam011477,C1,0.26969,383.00,0.0008247,0.5
dam011478,C1,0.28228,396.46,0.0202518,0.5
dam011479,C1,0.60110,702.49,0.0089354,0.5
dam011480,C1,0.25856,370.98,0.0007978,0.5
dam011481,C1,0.14158,235.18,0.0178047,0.5
dam011482,C1,4.47229,3208.33,0.0008311,0.5
dam011483,C1,0.27259,386.11,0.0000582,0.5
dam011484,C1,0.51368,623.71,0.0517670,0.5
dam011485,C1,1.00257,1034.62,0.0003461,0.5
dam011486,C1,0.23406,344.05,0.0026845,0.5
dam011487,C3,0.50066,611.70,0.0019578,0.5
dam011488,C1,0.59122,693.73,0.3713028,0.5
dam011489,C1,0.25195,363.78,0.0188622,0.5
dam011490,C3,0.09403,172.53,0.0224603,0.5
dam011491,C3,1.81514,1621.39,0.0040747,0.5
dam011492,C3,0.55479,661.13,0.0009382,0.5
dam011493,C3,0.34507,461.54,0.0329754,0.5
dam011494,C3,0.17291,273.59,0.0024869,0.5
dam011495,C3,4.70133,3331.93,0.1554972,0.5
dam011496,C3,0.93962,985.07,0.0013834,0.5
dam011497,C3,2.56490,2106.37,0.0366110,0.5
dam011498,C1,0.28938,403.98,0.4820294,0.5
dam011499,C1,0.06053,123.62,0.0001038,0.5
dam011500,C3,0.40319,519.25,0.0013378,0.5
dam011501,C3,0.37273,489.28,0.0299976,0.5
dam011502,C1,0.87747,935.35,0.0056270,0.5
dam011503,C3,5.23486,3614.33,0.0255751,0.5
dam011504,C1,0.63758,734.52,0.5605771,0.5
dam011505,C3,0.24986,361.49,0.0013856,0.5
dam011506,C3,1.09213,1103.84,0.0314323,0.5
dam011507,C1,0.14695,241.90,0.0026482,0.5
dam011508,C3,1.24920,1222.00,0.0028442,0.5
dam011509,C1,0.04370,96.60,0.0015619,0.5
dam011510,C3,0.04496,98.71,0.0069533,0.5
dam011511,C3,0.24200,352.85,0.0006392,0.5
dam011512,C3,0.77679,852.94,0.0011259,0.5
dam011513,C3,0.27035,383.71,0.0018036,0.5
dam011514,C3,1.66221,1516.91,0.0157573,0.5
dam011515,C1,0.35354,470.09,0.0037337,0.5
dam011516,C3,0.03158,75.56,0.0114216,0.5
dam011517,C3,1.10270,1111.91,0.0030962,0.5
dam011518,C3,0.43935,554.13,0.0294583,0.5
dam011519,C3,0.04968,106.46,0.0033973,0.5
dam011520,C3,1.02944,1055.54,0.0719634,0.5
dam011521,C3,0.03733,85.75,0.0343038,0.5
dam011522,C3,0.09079,168.02,0.0055109,0.5
dam011523,C3,0.30571,421.12,0.0083976,0.5
dam011524,C3,0.07122,139.82,0.0025707,0.5
dam011525,C3,1.39793,1330.60,0.2889283,0.5
dam011526,C3,0.09862,178.87,0.0095744,0.5
dam011527,C3,0.00685,23.77,0.0017873,0.5
dam011528,C3,0.03221,76.69,0.0013710,0.5
dam011529,C3,0.02619,65.57,0.0003702,0.5
dam011530,C3,0.29341,408.23,0.0014525,0.5
dam011531,C3,0.19203,296.19,0.0021180,0.5
dam011532,C3,0.77314,849.90,0.0448627,0.5
dam011533,C3,0.53562,643.76,0.0156225,0.5
dam011534,C3,0.28988,404.51,0.1276099,0.5
dam011535,C3,0.17306,273.77,0.0021753,0.5
dam011536,C3,0.08162,155.00,0.0028264,0.5
dam011537,C3,0.14085,234.26,0.0509564,0.5
dam011538,C3,0.56387,669.31,0.7660721,0.5
dam011539,C3,0.16796,267.64,0.0102533,0.5
dam011540,C3,0.19201,296.17,0.0188168,0.5
dam011541,C3,0.00682,23.69,0.0004137,0.5
dam011542,C3,0.63647,733.55,0.0044015,0.5
dam011543,C3,0.16343,262.16,0.0030352,0.5
dam011544,C3,0.41046,526.32,0.0002221,0.5
dam011545,C3,0.04114,92.29,0.0136781,0.5
dam011546,C3,7.85404,4913.28,0.0215834,0.5
dam011547,C3,0.17004,270.14,0.0021028,0.5
dam011548,C3,0.92987,977.33,0.0013721,0.5
dam011549,C3,1.50808,1409.21,0.0362644,0.5
dam011550,C3,2.27291,1922.25,0.2113956,0.5
dam011551,C3,1.29659,1256.93,0.0167382,0.5
dam011552,C3,0.36442,481.00,0.0318176,0.5
dam011553,C3,0.17802,279.69,0.0251959,0.5
dam011554,C3,0.14989,245.55,0.0151789,0.5
dam011555,C3,0.44892,563.23,0.0018401,0.5
dam011556,C3,0.06838,135.58,0.0004951,0.5
dam011557,C3,0.19798,303.12,0.0039670,0.5
dam011558,C3,1.04667,1068.88,0.5920470,0.5
dam011559,C3,5.76779,3889.50,0.0242096,0.5
dam011560,C3,0.33385,450.14,0.0145171,0.5
dam011561,C3,0.09183,169.47,0.0094835,0.5
dam011562,C3,4.76105,3363.91,0.2516592,0.5
dam011563,C3,0.12310,211.56,0.0025722,0.5
dam011564,C3,0.59653,698.44,0.0385468,0.5
dam011565,C3,0.12573,214.96,0.0009558,0.5
dam011566,C3,0.34130,457.72,0.2851280,0.5
