date,C1,C2,C3,C4,C5
1889-01-01,358.6,80.9,698.9,631.1,121.2
1889-02-01,86.3,28.7,230.0,417.5,0.2
1889-03-01,22.7,1.2,64.4,82.2,0.0
1889-04-01,317.2,744.1,2589.5,4374.1,27.5
1889-05-01,284.2,554.6,1895.2,1969.1,3.0
1889-06-01,1492.6,3832.2,12034.6,8612.6,1118.3
1889-07-01,254.6,1830.5,8708.1,6175.8,517.9
1889-08-01,613.8,3010.5,10533.0,6381.2,1467.9
1889-09-01,222.8,485.4,3879.7,2728.7,122.6
1889-10-01,375.5,1315.4,4818.7,8482.6,3326.3
1889-11-01,195.8,147.5,1363.5,1823.2,20.8
1889-12-01,37.6,40.7,398.8,475.8,0.1
1890-01-01,32.5,29.3,156.6,364.7,0.4
1890-02-01,4.6,24.3,46.2,90.0,0.0
1890-03-01,23.2,69.8,200.7,638.5,0.3
1890-04-01,10.5,27.2,51.2,240.0,0.1
1890-05-01,19.8,67.0,171.3,657.2,0.6
1890-06-01,60.3,93.3,322.3,1703.6,10.0
1890-07-01,79.2,144.1,615.4,2467.7,22.5
1890-08-01,213.8,636.0,1966.7,4949.7,221.8
1890-09-01,145.6,1136.3,2714.8,8827.6,343.4
1890-10-01,125.9,334.8,1486.3,5440.7,307.4
1890-11-01,256.9,599.1,2340.1,8572.0,152.4
1890-12-01,53.8,60.5,532.8,1511.3,6.1
1891-01-01,11.6,32.1,161.3,333.4,0.0
1891-02-01,2.7,27.7,48.3,74.5,0.0
1891-03-01,61.9,46.5,81.8,128.4,0.0
1891-04-01,18.8,91.1,214.2,348.1,0.0
1891-05-01,49.7,56.0,288.8,534.5,2.0
1891-06-01,92.0,289.7,1100.0,3567.2,72.1
1891-07-01,354.8,2376.1,7396.7,8265.0,7.5
1891-08-01,201.8,3365.8,7677.0,8715.9,0.4
1891-09-01,106.1,761.3,3158.9,3645.6,12.0
1891-10-01,390.5,1748.6,5843.9,9512.1,78.5
1891-11-01,130.0,277.3,1749.3,2260.0,5.9
1891-12-01,68.9,103.7,713.1,919.3,2.3
1892-01-01,11.0,47.4,188.3,199.9,0.0
1892-02-01,2.9,42.5,58.9,47.3,0.0
1892-03-01,18.7,76.3,164.9,555.2,0.8
1892-04-01,581.5,949.8,5003.3,7844.5,278.7
1892-05-01,271.4,609.8,3309.8,6173.4,33.8
1892-06-01,253.6,866.7,4273.7,6335.3,53.5
1892-07-01,116.2,818.2,5628.6,5492.6,125.1
1892-08-01,412.6,3557.1,12890.3,8220.1,968.8
1892-09-01,238.1,1459.1,6021.3,5658.2,189.7
1892-10-01,180.1,981.0,3355.4,4449.5,42.5
1892-11-01,298.3,432.9,2290.5,2392.7,36.3
1892-12-01,115.2,228.2,1009.6,2220.4,5.5
1893-01-01,18.5,63.4,234.9,343.9,0.0
1893-02-01,4.6,57.1,73.5,89.0,0.0
1893-03-01,23.9,114.4,170.2,710.0,0.1
1893-04-01,150.1,331.2,1467.4,2436.9,19.6
1893-05-01,541.9,1606.4,5009.9,10074.6,154.7
1893-06-01,231.7,718.0,3024.4,8533.6,136.9
1893-07-01,155.8,1356.4,4808.7,7537.1,230.9
1893-08-01,293.1,3541.5,10802.5,9886.3,454.0
1893-09-01,471.3,4223.7,12623.8,13168.3,4804.8
1893-10-01,949.9,2776.8,10559.4,12536.7,2588.1
1893-11-01,451.7,1158.4,4187.9,9217.5,115.5
1893-12-01,79.4,141.2,1124.8,1260.4,1.1
1894-01-01,19.8,91.5,352.5,315.3,0.0
1894-02-01,5.3,82.8,115.4,149.1,0.0
1894-03-01,53.9,96.2,162.5,178.1,0.5
1894-04-01,101.2,243.1,932.9,1364.6,11.1
1894-05-01,112.8,396.8,1580.6,2237.4,3.0
1894-06-01,204.6,1024.0,3781.0,5704.8,85.4
1894-07-01,492.9,2899.9,12521.6,13033.8,1348.4
1894-08-01,245.2,2154.5,9119.2,5977.5,329.5
1894-09-01,647.1,2753.7,12475.1,7988.9,1519.0
1894-10-01,1531.0,2245.2,13152.4,13945.8,7934.7
1894-11-01,177.1,117.5,2480.7,1334.1,20.9
1894-12-01,143.9,265.1,1332.0,1472.6,3.7
1895-01-01,60.3,128.7,450.3,598.8,0.8
1895-02-01,9.8,96.4,121.7,120.7,0.0
1895-03-01,16.3,119.7,140.1,296.3,0.5
1895-04-01,112.7,170.2,396.8,907.3,2.2
1895-05-01,22.6,130.6,218.7,659.9,0.2
1895-06-01,54.1,160.2,529.5,1640.5,11.2
1895-07-01,100.7,346.7,1562.5,2865.0,17.5
1895-08-01,192.5,1060.8,5104.4,11054.3,865.6
1895-09-01,265.8,1608.6,4562.8,13125.6,632.1
1895-10-01,46.1,146.6,1043.3,1801.7,3.6
1895-11-01,9.8,101.3,296.0,400.6,0.0
1895-12-01,32.8,148.4,384.0,745.7,0.2
1896-01-01,14.7,118.0,189.1,813.3,3.4
1896-02-01,41.2,146.2,326.0,1255.8,2.4
1896-03-01,18.5,113.6,130.4,749.2,1.0
1896-04-01,140.5,276.2,766.8,3878.1,150.1
1896-05-01,130.9,526.1,1907.0,9838.5,190.5
1896-06-01,44.2,418.8,1187.3,10235.5,533.2
1896-07-01,157.5,1293.5,3577.1,8583.2,696.1
1896-08-01,150.5,2257.9,6571.7,9701.6,786.8
1896-09-01,136.5,1756.4,5747.8,8566.4,161.4
1896-10-01,18.5,110.9,1052.1,1048.2,1.2
1896-11-01,12.4,109.2,379.5,310.4,0.0
1896-12-01,6.2,111.0,142.8,158.4,0.0
1897-01-01,250.5,413.1,1120.6,2398.1,4.3
1897-02-01,57.0,179.4,478.9,1803.3,2.2
1897-03-01,19.8,125.7,199.3,967.3,0.4
1897-04-01,13.3,110.5,112.5,433.3,0.0
1897-05-01,19.0,138.1,189.5,1472.6,0.7
1897-06-01,37.8,135.8,260.0,1816.6,0.9
1897-07-01,61.1,207.8,607.9,3486.7,1.6
1897-08-01,141.1,424.0,1931.4,8421.2,32.9
1897-09-01,96.6,366.7,1152.0,4079.7,1.9
1897-10-01,125.7,497.6,1391.2,3651.5,3.4
1897-11-01,33.2,125.5,327.0,797.5,0.4
1897-12-01,7.6,101.3,99.6,194.6,0.0
1898-01-01,1.8,99.7,31.8,44.2,0.0
1898-02-01,2.0,90.5,13.1,11.7,0.0
1898-03-01,0.5,98.7,7.0,9.8,0.0
1898-04-01,35.2,142.5,346.9,454.6,0.9
1898-05-01,30.6,181.5,389.7,877.7,3.0
1898-06-01,144.6,276.6,984.2,1149.6,12.9
1898-07-01,111.6,461.9,2161.7,1741.0,9.3
1898-08-01,31.3,157.9,715.4,663.5,2.0
1898-09-01,146.4,559.3,1922.7,2749.3,54.9
1898-10-01,95.9,256.9,926.4,1097.6,1.5
1898-11-01,49.6,118.3,352.2,542.3,0.5
1898-12-01,15.9,108.7,152.3,356.3,0.1
1899-01-01,32.3,131.8,274.9,752.3,2.5
1899-02-01,22.3,92.2,100.1,317.3,0.2
1899-03-01,41.9,119.2,126.0,899.6,7.9
1899-04-01,67.8,305.5,790.6,3270.9,7.3
1899-05-01,62.0,276.0,671.0,4784.9,43.9
1899-06-01,301.7,1419.7,2278.2,15492.3,1354.0
1899-07-01,36.1,174.8,442.7,3560.7,9.2
1899-08-01,89.5,845.7,1209.5,5763.2,163.7
1899-09-01,33.1,244.4,575.8,2845.1,117.7
1899-10-01,60.7,375.2,664.7,1786.8,19.7
1899-11-01,117.8,508.6,1167.5,7722.7,126.0
1899-12-01,15.9,95.1,206.6,747.5,0.8
1900-01-01,14.9,99.0,102.3,393.6,0.4
1900-02-01,2.3,83.2,25.8,74.0,0.0
1900-03-01,133.9,217.4,832.8,1415.1,14.9
1900-04-01,135.6,494.4,1597.8,5519.3,246.5
1900-05-01,169.7,1358.3,2667.7,9587.2,332.8
1900-06-01,310.1,2588.7,4302.4,11171.4,3496.5
1900-07-01,50.7,1250.7,2385.3,3594.2,141.1
1900-08-01,453.2,4506.7,11403.0,11306.6,6778.1
1900-09-01,209.0,2195.5,6232.6,8429.7,1544.3
1900-10-01,52.1,198.3,1983.2,1384.4,7.9
1900-11-01,16.9,110.2,529.9,331.8,0.0
1900-12-01,8.8,111.8,188.9,129.9,0.0
1901-01-01,46.9,194.9,325.3,796.4,2.8
1901-02-01,5.4,99.4,58.3,127.7,0.0
1901-03-01,34.1,182.8,241.2,562.4,0.2
1901-04-01,226.5,725.3,2191.3,5856.7,98.5
1901-05-01,41.1,157.5,444.0,1484.3,1.2
1901-06-01,242.1,677.6,924.4,4191.6,75.6
1901-07-01,53.2,344.1,494.3,3496.1,6.3
1901-08-01,60.7,1004.6,1576.2,7235.8,66.4
1901-09-01,219.9,759.6,1775.7,6750.0,228.7
1901-10-01,131.0,348.3,927.0,1776.9,59.4
1901-11-01,25.8,110.9,226.7,495.7,0.4
1901-12-01,7.2,107.8,76.4,150.5,0.0
1902-01-01,18.0,131.2,90.5,215.8,0.0
1902-02-01,7.7,102.0,61.3,179.6,0.0
1902-03-01,65.6,192.4,271.7,1003.9,0.3
1902-04-01,7.0,100.8,40.6,155.0,0.0
1902-05-01,8.6,111.7,90.1,133.9,0.0
1902-06-01,108.1,301.0,895.8,1210.1,2.8
1902-07-01,17.8,113.6,251.3,459.6,0.2
1902-08-01,11.9,128.6,213.5,383.9,0.4
1902-09-01,47.9,200.8,561.9,1318.0,4.2
1902-10-01,19.3,125.6,195.8,468.8,0.1
1902-11-01,3.9,96.6,48.6,107.3,0.0
1902-12-01,163.0,749.2,1924.6,4548.1,25.9
1903-01-01,24.6,101.5,306.9,777.1,0.1
1903-02-01,21.8,103.9,203.2,440.4,0.2
1903-03-01,37.9,188.3,315.4,1522.7,3.9
1903-04-01,181.8,295.6,1164.5,4905.8,43.8
