date,C1,C2,C3,C4,C5
1889-01-01,167.4,165.6,166.2,165.3,164.3
1889-02-01,134.8,133.4,133.9,132.6,132.5
1889-03-01,107.8,106.6,107.1,106.9,107
1889-04-01,56.2,55.8,55.8,57.1,57.7
1889-05-01,31.9,31.7,31.4,32,32.1
1889-06-01,19.5,19.5,19.4,19.3,19.6
1889-07-01,22.1,22.1,22,21.9,22.2
1889-08-01,43.8,43.4,43.7,44.7,44.9
1889-09-01,68.4,68.6,68.6,69.4,69.8
1889-10-01,107.2,106.5,106.7,107.1,107.1
1889-11-01,134.8,133.5,134.5,135,135.1
1889-12-01,164.3,163.3,163.9,163.6,163.5
1890-01-01,184.3,183.1,183.4,182.3,182.4
1890-02-01,145.2,143.7,144.6,143.5,143.5
1890-03-01,111.1,110,110.6,110,110.2
1890-04-01,62.9,62.4,63,63.2,63.7
1890-05-01,31.9,31.8,31.9,32.4,32.5
1890-06-01,19.6,19.3,19.4,19,19.3
1890-07-01,22.1,22,21.9,22.7,23.2
1890-08-01,40.8,40.5,40.7,41.9,42.1
1890-09-01,68.2,67.9,68.2,68.8,68.9
1890-10-01,103.5,102.8,102.8,103.3,103.3
1890-11-01,132.9,132.2,132.2,132.7,132.9
1890-12-01,159.4,158.1,158.8,158.8,158.5
1891-01-01,174.2,172.3,173.4,172,171.6
1891-02-01,137.7,135.7,136.4,135.4,135.5
1891-03-01,111.2,110,110.5,110.4,110.7
1891-04-01,59.2,58.7,58.9,59.3,59.7
1891-05-01,32.7,32.6,32.6,32.8,33
1891-06-01,17.4,17.6,17.5,18.5,18.7
1891-07-01,22.7,22.5,22.7,23.6,23.9
1891-08-01,41.2,41.6,42,44.5,45
1891-09-01,74.1,73.4,74,74.4,74.7
1891-10-01,105.4,104.6,104.8,105.3,104.9
1891-11-01,136.8,136.3,136.3,136.4,136.5
1891-12-01,163.6,162.3,163.2,162.9,162.6
1892-01-01,167,166.1,166.3,165.4,164.7
1892-02-01,145.5,144.1,144.5,143.7,143.6
1892-03-01,107.6,106.2,106.9,106.8,106.8
1892-04-01,57.6,56.9,57.3,57.2,57.5
1892-05-01,30.5,30.3,30.6,30.8,30.9
1892-06-01,18.4,18.3,18.3,18.6,18.6
1892-07-01,23.1,23,22.8,23.5,23.8
1892-08-01,42.6,42.4,42.5,43.5,43.8
1892-09-01,70.1,69.9,70.6,71.7,71.7
1892-10-01,107.2,105.8,106.5,106.8,106.9
